"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","dataQF"
"58252a6f-4d62-420d-8329-2e4b01d136f4","0abd9048-fcc0-4a4c-8935-477e9374316d","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2019-09-23T16:24Z","2019-09-23T16:24Z",0.67,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",37.48,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,16,NA
"892acbef-801a-4365-9551-247fa1f870c7","d4db7d83-e223-4373-9583-9124ce014fd2","D07","LECO","LECO.AOS.discharge","AB","2015-08-24T14:37Z","2015-08-24T14:37Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",51.22,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,0,NA
"5f1516af-68f4-4b29-ab11-44fd646b46f4","dec839ac-bc60-4640-8f02-0589dea3152d","D07","LECO","LECO.AOS.discharge","PMH","2015-09-08T15:33Z","2015-09-08T15:33Z",NA,"meter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",21.69,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,0,1,1,1,0,NA
"315e9ec5-1c61-40a9-aeb5-3cc42d7078d2","648b046d-6ec1-47e3-aa6d-dbd2977ac3b4","D07","LECO","LECO.AOS.discharge","AB","2015-10-13T15:19Z","2015-10-13T15:19Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",335.3,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,4,NA
"f9c1e9eb-68b1-4193-b63f-9fc8ab8381f0","bcc50532-fc80-4944-9e23-1b3bf4a5a4ee","D07","LECO","LECO.AOS.discharge","LB","2015-11-09T19:35Z","2015-11-09T19:35Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",608.7,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,9,NA
"c42dcc54-893f-4c59-9cc9-845eb2b255d9","942c3087-6cc2-4910-8329-9e56297e52a0","D07","LECO","LECO.AOS.discharge","AB","2015-12-07T06:28Z","2015-12-07T06:28Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",189.2,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,3,NA
"dbc5e08d-49ca-40ad-a244-e7cb2161c470","103d293e-08f9-4e83-9805-0a73fbdd8611","D07","LECO","LECO.AOS.discharge","AB","2015-12-15T17:47Z","2015-12-15T17:47Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",99.09,"litersPerSecond","NEON.DOC.001085vB","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,0,NA
"d6fee91a-f209-412d-aa71-9efd8c797588","74448780-3190-423b-98cc-019a62b44026","D07","LECO","LECO.AOS.discharge","AB","2016-03-07T17:12Z","2016-03-07T17:12Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",251.1,"litersPerSecond","NEON.DOC.001085vC","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,0,NA
"ad22890c-cd7f-4bde-a14c-6abb32a64928","a7e5c25a-4324-4ace-be10-531fbbef6f20","D07","LECO","LECO.AOS.discharge","AB","2016-04-12T14:28Z","2016-04-12T14:28Z",NA,"centimeter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",173.7,"litersPerSecond","NEON.DOC.001085vC","centimeterPerSecond","centimeter","centimeter",1,0,1,1,1,1,4,NA
"36b8c588-1f3e-4a24-aef4-6ac06cbce8a3","a8d7f77b-fb9d-4324-994f-ced9804b8ae4","D07","LECO","LECO.AOS.discharge","AB","2016-05-10T16:04Z","2016-05-10T16:04Z",NA,"meter",143511002222,143460300894,10,"Non-fixed","Mean-section","Right edge water",174.7,"litersPerSecond","NEON.DOC.001085vC","centimeterPerSecond","meter","meter",1,0,0,1,0,0,0,NA
