"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","waterYearToInclude","waterYearToIncludeNotes","dataQF","publicationDate"
"33e3851e-768b-4ee8-acbf-49f360a5381a","0a559192-1a92-4d14-b816-829e0921a50b","D11","BLUE","BLUE.AOS.discharge","CWB",2019-07-18 16:43:00,2019-07-18 16:43:00,0.38,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",2383,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,4,NA,NA,NA,"20200414T134435Z"
"61411400-a1a1-4a6a-98bb-9c45e57dc06f","f9086afd-8db0-46c1-8604-408b871dfa4a","D11","BLUE","BLUE.AOS.discharge","CWB",2019-08-13 16:31:00,2019-08-13 16:31:00,0.49,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",1608,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T143746Z"
"9d08d6db-7ae7-4c63-888e-3a85c6e96ccd","491e32be-24d8-40f1-b76e-40291a0f1acb","D11","BLUE","BLUE.AOS.discharge","NAF",2019-08-15 19:16:00,2019-08-15 19:16:00,0.57,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",1695,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T143746Z"
"4e87c980-6385-4805-8627-1cc754cf57d8","972a64a7-0a43-4d43-a0d7-20d9373c3c5c","D13","COMO","COMO.AOS.discharge","RSHOW",2017-05-25 15:16:00,2017-05-25 15:16:00,0.62,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",130.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,38,NA,NA,NA,"20200414T144731Z"
"d14f4cb8-ac35-4040-bd3e-d03923758c90","5fc9e85c-309f-45a5-b2d6-1f3f0fde80cc","D13","COMO","COMO.AOS.discharge","RSHOW",2017-06-05 16:12:00,2017-06-05 16:12:00,0.65,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",125.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,40,NA,NA,NA,"20200414T141144Z"
"f829973a-9ba3-4b86-8f78-1302be4d6aa8","8da10421-ffde-46eb-af9d-3fca185d5595","D13","COMO","COMO.AOS.discharge","BNANCE",2017-06-12 14:39:00,2017-06-12 14:39:00,0.78,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",371.4,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,33,NA,NA,NA,"20200414T141144Z"
"58f60420-0332-441a-b155-08a03c63eb13","04b77cd2-af0d-4e6a-826f-b8d6fb5395c2","D13","COMO","COMO.AOS.discharge","RSHOWALTER",2017-06-14 14:30:00,2017-06-14 14:30:00,0.76,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",264.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,39,NA,NA,NA,"20200414T141144Z"
"76860c29-3ad7-4d37-ac80-51645c805877","c52ba382-6f92-42f2-9d64-d547fa37b9c4","D13","COMO","COMO.AOS.discharge","NSTURM",2017-06-14 15:26:00,2017-06-14 15:26:00,0.76,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",335.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,39,NA,NA,NA,"20200414T141144Z"
"e6f2d61d-b12f-46e3-8fc9-27981317ab36","00607b15-b0a1-4825-ad57-4fc52a8fa2b8","D13","COMO","COMO.AOS.discharge","HSCHARTEL",2017-06-20 14:44:00,2017-06-20 14:44:00,0.72,"meter","6.05630615558826e-313","6.55428970124061e-313",15,"Non-fixed","Mid-section","Right edge water",252.5,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,32,NA,NA,NA,"20200414T141144Z"
"299a9995-0284-41ff-97c1-df416ba9caba","9a00dcd6-21cc-474c-990b-5d4520aa6d43","D13","COMO","COMO.AOS.discharge","NSTURM",2017-06-27 15:22:00,2017-06-27 15:22:00,0.62,"meter","6.05630615558826e-313","6.55428970124061e-313",10,"Non-fixed","Mid-section","Right edge water",189.6,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,43,NA,NA,NA,"20200414T141144Z"
